config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	flash_edep	alpha	obj
foilsflash17R04_00	50.0000	50.0000	1.000000	1.000000	0.9500	0.6374	3.05000	1.03821e-06	100000.000	2.94618
foilsflash18R00_00	203.1102	154.9854	1.000000	0.861781	0.9500	0.9282	2.70000	6.33227e-07	100000.000	2.63668
foilsflash18R00_01	250.0000	179.9613	0.990334	0.833086	0.9500	0.8188	2.17000	6.04515e-07	100000.000	2.10955
foilsflash18R00_02	250.0000	250.0000	0.002000	1.000000	0.9500	0.9022	2.34000	6.44650e-07	100000.000	2.27554
foilsflash18R00_03	72.3987	204.2207	0.305714	0.002000	0.9500	0.5597	3.16000	6.63532e-07	100000.000	3.09365
foilsflash18R00_04	192.2491	150.2398	0.002000	0.097707	0.7417	0.5928	3.36000	6.33975e-07	100000.000	3.29660
foilsflash18R02_00	250.0000	187.3312	0.615185	0.002000	0.9500	0.3592	2.97000	6.34117e-07	100000.000	2.90659
foilsflash18R01_00	79.1108	119.8017	0.071040	0.140992	0.1764	0.2011	3.86000	9.07140e-07	100000.000	3.76929
foilsflash18R03_00	250.0000	135.8113	1.000000	0.568236	0.9500	0.7621	2.80000	6.48492e-07	100000.000	2.73515
foilsflash18R04_00	250.0000	250.0000	0.002000	0.682762	0.4571	0.7551	1.91000	6.63921e-07	100000.000	1.84361
foilsflash18R05_00	250.0000	190.9655	0.925581	0.656932	0.9500	0.7166	2.04000	6.09158e-07	100000.000	1.97908
foilsflash20R00_02	50.0000	216.3890	0.002000	1.000000	0.6409	0.8087	2.02000	6.54554e-07	100000.000	1.95454
foilsflash20R00_01	103.8583	119.1993	0.002000	0.148039	0.1793	0.3760	3.69000	7.64057e-07	100000.000	3.61359
foilsflash20R00_00	250.0000	202.3713	0.738798	0.854035	0.9500	0.7802	1.91000	6.41119e-07	100000.000	1.84589
foilsflash20R00_03	233.6174	180.2038	0.002000	0.126993	0.5559	0.6921	3.04000	6.34745e-07	100000.000	2.97653
foilsflash20R00_04	71.1356	150.5974	0.002000	0.128433	0.4496	0.7075	3.25000	6.13939e-07	100000.000	3.18861
foilsflash20R01_00	250.0000	194.6740	0.762390	0.204186	0.9500	0.6686	2.61000	6.32055e-07	100000.000	2.54679
foilsflash21R00_04	156.3147	105.2670	0.075895	0.189413	0.7382	0.1769	3.69000	9.91595e-07	100000.000	3.59084
foilsflash20R02_00	50.0000	83.7059	0.448693	0.281279	0.9500	0.5830	3.46000	8.14946e-07	100000.000	3.37851
foilsflash20R02_01	64.4951	120.6687	0.002000	0.157680	0.1847	0.2046	3.75000	8.91813e-07	100000.000	3.66082
foilsflash20R03_00	250.0000	187.7120	1.000000	0.327004	0.9500	0.6684	2.43000	6.27495e-07	100000.000	2.36725
foilsflash20R04_00	250.0000	250.0000	0.002000	0.174447	0.6340	0.6076	2.54000	6.51836e-07	100000.000	2.47482
foilsflash21R00_00	154.3518	116.2862	0.020427	0.146317	0.5298	0.1077	3.79000	9.34864e-07	100000.000	3.69651
foilsflash21R00_01	117.9893	111.9068	0.017057	0.144099	0.1988	0.2641	3.80000	8.97019e-07	100000.000	3.71030
foilsflash21R00_02	95.1768	127.3109	0.009496	0.205136	0.3994	0.1140	3.72000	1.00947e-06	100000.000	3.61905
foilsflash21R00_03	54.3775	122.0601	0.172804	0.186426	0.6830	0.1331	3.74000	1.01787e-06	100000.000	3.63821
foilsflash21R01_00	217.7763	105.0698	0.011530	0.175922	0.1266	0.0827	3.78000	1.01204e-06	100000.000	3.67880
foilsflash21R02_00	51.7607	120.9231	0.023462	0.154507	0.0264	0.1376	3.80000	9.66432e-07	100000.000	3.70336
foilsflash21R02_01	58.4548	104.7488	0.069580	0.189739	0.3146	0.0254	3.80000	1.11219e-06	100000.000	3.68878
foilsflash21R04_00	134.7132	113.8432	0.032056	0.199354	0.0820	0.0694	3.84000	1.15975e-06	100000.000	3.72402
foilsflash21R03_00	153.1587	124.1851	0.052547	0.167099	0.3603	0.1141	3.79000	1.00783e-06	100000.000	3.68922
foilsflash22R00_00	50.0000	73.0003	0.154737	0.187222	0.8879	0.0000	3.58000	1.05573e-06	100000.000	3.47443
foilsflash22R00_01	50.0000	75.4437	0.076888	0.385512	0.9500	0.3459	3.40000	9.98874e-07	100000.000	3.30011
foilsflash22R00_03	50.0000	55.1804	0.139263	0.299539	0.9500	0.0000	3.43000	1.11104e-06	100000.000	3.31890
foilsflash22R00_02	172.9164	95.0831	0.090744	0.224681	0.0000	0.6704	3.52000	8.20392e-07	100000.000	3.43796
foilsflash22R00_05	50.0000	50.0000	0.273365	0.208954	0.5167	0.0000	3.34000	1.12234e-06	100000.000	3.22777
foilsflash22R00_04	50.0000	51.5375	0.192215	0.136821	0.7416	0.0000	3.44000	9.89054e-07	100000.000	3.34109
foilsflash22R00_06	50.0000	52.4352	0.348761	0.180169	0.4968	0.4258	3.19000	9.33999e-07	100000.000	3.09660
foilsflash22R00_07	116.2923	62.7461	0.097388	0.378992	0.7671	0.5839	3.48000	9.24082e-07	100000.000	3.38759
foilsflash22R00_08	141.7033	79.8885	0.101723	0.295294	0.0000	0.7623	3.54000	8.49988e-07	100000.000	3.45500
foilsflash22R00_09	50.0000	103.2734	0.042540	0.438956	0.9500	0.0249	3.39000	1.39234e-06	100000.000	3.25077
foilsflash22R02_00	196.7926	126.4674	0.075458	0.135272	0.0000	0.4519	3.53000	7.76810e-07	100000.000	3.45232
