config	rOut_0	rOut_1	rOut_2	hT_0	hT_1	hT_2	f_0	f_1	f_2	sob	flash_edep	alpha	obj
foilspf01R00_08	50.0505	85.4293	81.2036	0.068775	0.057087	0.119579	0.7766	0.8837	0.2000	3.04000	5.74286e-07	100000.000	2.98257
foilspf01R01_00	120.0000	50.0000	50.0000	0.010000	0.150000	0.099190	0.9500	0.9500	0.0000	2.29000	7.17316e-07	100000.000	2.21827
foilspf01R01_02	120.0000	50.0000	69.4209	0.149872	0.042905	0.097349	0.8793	0.9500	0.7383	1.12000	2.12835e-07	100000.000	1.09872
foilspf01R03_00	54.9892	85.0099	120.0000	0.122933	0.050452	0.143019	0.5521	0.4715	0.0000	4.09000	9.68010e-07	100000.000	3.99320
foilspf01R04_00	98.2154	86.2354	118.3592	0.102048	0.033190	0.010000	0.3352	0.1332	0.3447	3.60000	6.60902e-07	100000.000	3.53391
foilspf02R01_00	119.2837	120.0000	120.0000	0.076395	0.050842	0.010000	0.6827	0.6088	0.4974	2.43000	1.53482e-07	100000.000	2.41465
foilspf02R03_00	87.7676	120.0000	120.0000	0.087817	0.080582	0.071603	0.6079	0.4175	0.4903	3.69000	4.34637e-07	100000.000	3.64654
foilspf02R04_00	50.0000	92.2241	120.0000	0.014056	0.045479	0.010000	0.8467	0.4590	0.6643	2.76000	3.04885e-07	100000.000	2.72951
foilspf02R04_01	50.0000	102.6639	120.0000	0.062889	0.029959	0.010000	0.9333	0.6128	0.6733	1.82000	1.54113e-07	100000.000	1.80459
foilspf02R07_00	50.0000	120.0000	109.4119	0.098345	0.076536	0.010000	0.6799	0.3792	0.0000	3.87000	6.52930e-07	100000.000	3.80471
foilspf04R05_01	79.2102	120.0000	50.0000	0.049724	0.125198	0.010000	0.5443	0.6929	0.9478	2.75000	2.24451e-07	100000.000	2.72755
foilspfSCANA1100	120.0000	120.0000	50.0000	0.017634	0.064432	0.150000	0.4259	0.1194	0.8648	4.16000	8.27412e-07	100000.000	4.07726
foilspfSCANB1100	50.0000	119.9996	50.0000	0.089269	0.054417	0.150000	0.0446	0.2906	0.9500	3.99000	6.34321e-07	100000.000	3.92657
foilspfbp01R00_03	50.0000	102.1709	50.0000	0.010000	0.064308	0.150000	0.4315	0.0000	0.0000	4.29000	1.22711e-06	100000.000	4.16729
foilspfbp01R00_08	53.0296	72.2646	52.1629	0.099834	0.061947	0.018904	0.3548	0.6322	0.6499	2.77000	4.77822e-07	100000.000	2.72222
