config	r0	r1	r2	t0	t1	t2	mu_per_POT	edep_per_POT_MeV	peak_dose_Gy_per_POT	peak_plate_idx	obj
pt6d14R02_09	3.7693	4.4377	3.2866	6.3895	8.0000	3.0000	2.360221e-03	4.961105e+02	1.326025e-09	33	2.360221e-03
pt6d14R03_00	2.6972	2.8896	2.4707	6.7303	8.0000	4.4168	2.235556e-03	4.268768e+02	2.371401e-09	32	2.235556e-03
pt6d14R03_01	4.4398	3.3092	2.8219	8.0000	6.3147	5.8439	2.300000e-03	4.438846e+02	1.979199e-09	32	2.300000e-03
pt6d14R03_08	4.5000	2.6471	2.2256	4.4487	7.8726	3.0000	2.126667e-03	4.076832e+02	3.042325e-09	30	2.126667e-03
pt6d14R03_02	3.4724	3.5970	2.1559	6.1891	8.0000	5.8564	2.331868e-03	4.657481e+02	2.863762e-09	34	2.331868e-03
pt6d14R03_04	4.2306	2.2730	4.5000	7.8667	6.4782	7.5715	2.271111e-03	4.285351e+02	2.066738e-09	20	2.271111e-03
pt6d14R03_03	2.7320	3.4059	3.0102	7.2764	7.7733	3.5156	2.307182e-03	4.478143e+02	1.652740e-09	32	2.307182e-03
pt6d14R03_09	4.1562	4.5000	4.2787	7.5228	8.0000	5.1517	2.254945e-03	5.269709e+02	9.422002e-10	31	2.254945e-03
pt6d14R03_06	2.7847	3.3450	3.7612	8.0000	7.2571	6.6668	2.205525e-03	4.623650e+02	1.289699e-09	28	2.205525e-03
pt6d14R03_05	4.3175	2.4571	3.3339	4.0402	7.3069	8.0000	2.297778e-03	4.202496e+02	2.102692e-09	26	2.297778e-03
pt6d14R03_07	2.0000	3.0818	3.7003	6.6553	6.3997	5.7800	2.079558e-03	4.134334e+02	1.366337e-09	25	2.079558e-03
pt6d15R00_00	3.6728	2.5044	2.6879	6.3121	7.7225	4.1221	2.213736e-03	4.105684e+02	2.507278e-09	27	2.213736e-03
pt6d15R00_03	3.9700	4.0434	3.6869	8.0000	6.2624	7.3694	2.273889e-03	4.800591e+02	1.235401e-09	32	2.273889e-03
pt6d15R00_06	3.0143	3.3432	2.7521	8.0000	8.0000	5.6836	2.333702e-03	4.640938e+02	1.974891e-09	33	2.333702e-03
pt6d15R00_02	3.4113	4.2466	4.4339	7.3896	8.0000	7.0663	2.251890e-03	5.238010e+02	9.270795e-10	30	2.251890e-03
pt6d15R00_04	3.6516	4.1089	2.0000	8.0000	5.5064	6.9472	2.201379e-03	4.429409e+02	3.273811e-09	34	2.201379e-03
pt6d15R00_07	4.0782	4.1234	2.0000	6.6509	7.8665	3.7510	2.263271e-03	4.818711e+02	3.096100e-09	34	2.263271e-03
pt6d15R00_08	4.0754	3.4526	2.7317	4.1040	6.0582	3.3362	2.091713e-03	3.921257e+02	1.939721e-09	32	2.091713e-03
pt6d15R00_09	2.0000	2.9009	4.0175	7.6413	7.4411	6.6407	2.206327e-03	4.397556e+02	1.362459e-09	22	2.206327e-03
pt6d15R01_00	2.6363	4.4942	2.7211	6.3645	8.0000	4.8768	2.419972e-03	4.963460e+02	1.879177e-09	34	2.419972e-03
pt6d15R01_03	2.4764	4.5000	2.0000	7.2520	7.9391	3.5460	2.314521e-03	4.869893e+02	3.083621e-09	34	2.314521e-03
pt6d15R01_01	4.5000	2.8949	4.4351	6.8812	6.6541	8.0000	2.227012e-03	4.561127e+02	1.459921e-09	23	2.227012e-03
pt6d15R01_02	3.9277	4.2670	2.5429	3.6503	7.0375	3.0000	2.199454e-03	4.406126e+02	2.026588e-09	34	2.199454e-03
pt6d15R01_07	4.4204	2.5751	4.5000	4.0408	7.7820	3.0000	2.210468e-03	4.143332e+02	1.906452e-09	21	2.210468e-03
pt6d15R01_08	4.5000	3.7349	2.5978	3.0000	8.0000	5.5178	2.277686e-03	4.603413e+02	2.149256e-09	33	2.277686e-03
pt6d15R01_04	3.2847	4.1988	4.5000	8.0000	7.4234	6.5814	2.254345e-03	5.086893e+02	9.154210e-10	30	2.254345e-03
pt6d15R01_09	3.3403	2.9131	2.0000	6.6787	7.1775	6.3310	2.230000e-03	4.218738e+02	3.312382e-09	33	2.230000e-03
pt6d15R01_06	2.3083	3.3507	3.4112	7.6256	7.2240	7.7421	2.309041e-03	4.595586e+02	1.430436e-09	32	2.309041e-03
pt6d15R02_00	2.5294	3.3015	2.2425	7.5951	8.0000	4.6016	2.308287e-03	4.467186e+02	2.640796e-09	33	2.308287e-03
pt6d15R02_02	3.5489	4.1957	4.4722	6.1174	8.0000	5.1325	2.187106e-03	5.042148e+02	9.325059e-10	28	2.187106e-03
pt6d15R02_07	2.4120	4.4817	3.7139	6.7762	8.0000	5.9134	2.268516e-03	5.095174e+02	1.137667e-09	33	2.268516e-03
pt6d15R02_09	4.3424	4.4385	3.9770	7.6740	7.3217	7.8381	2.330864e-03	5.251630e+02	1.079149e-09	32	2.330864e-03
pt6d15R02_06	4.4487	2.0000	2.5501	5.4672	7.3039	7.0321	2.172752e-03	3.894160e+02	3.422333e-09	26	2.172752e-03
pt6d15R02_08	4.5000	2.2199	3.8912	3.1756	7.0606	4.2488	2.151440e-03	3.820039e+02	2.466997e-09	22	2.151440e-03
pt6d15R03_00	2.8651	3.3892	3.5083	8.0000	7.9193	3.7072	2.282256e-03	4.583745e+02	1.385307e-09	29	2.282256e-03
pt6d15R03_01	3.8793	2.1836	4.2745	8.0000	6.4069	5.3682	2.223934e-03	4.035955e+02	2.378424e-09	20	2.223934e-03
pt6d15R03_03	4.5000	3.4618	3.4151	8.0000	7.0614	7.1299	2.307819e-03	4.775210e+02	1.523707e-09	30	2.307819e-03
pt6d15R03_02	3.6541	3.0864	3.6829	7.2621	7.3675	6.8094	2.258207e-03	4.582897e+02	1.490377e-09	27	2.258207e-03
pt6d15R03_05	4.5000	4.1497	4.0021	8.0000	8.0000	5.7247	2.343333e-03	5.199701e+02	1.099908e-09	30	2.343333e-03
pt6d15R03_07	4.5000	3.0664	2.0846	3.0000	6.6789	5.4402	2.189589e-03	3.967066e+02	3.135420e-09	33	2.189589e-03
pt6d15R03_06	2.4818	3.4748	4.0915	7.5354	7.3493	8.0000	2.237898e-03	4.759046e+02	1.122165e-09	29	2.237898e-03
pt6d15R03_09	4.5000	3.4703	2.0000	4.1839	8.0000	6.1680	2.329834e-03	4.538745e+02	3.240099e-09	33	2.329834e-03
pt6d16R00_01	4.0373	2.6848	4.5000	4.6250	6.6977	7.1038	2.209129e-03	4.267257e+02	1.595319e-09	21	2.209129e-03
pt6d16R00_02	2.3350	4.1453	2.3427	7.7352	8.0000	6.1178	2.274444e-03	4.889311e+02	2.489549e-09	34	2.274444e-03
pt6d16R00_06	4.0404	3.2989	3.5859	3.0795	6.8027	5.1188	2.161442e-03	4.189325e+02	1.475855e-09	27	2.161442e-03
pt6d16R00_03	4.5000	2.0455	4.5000	5.1392	7.6654	3.7220	2.195068e-03	3.995436e+02	2.654728e-09	20	2.195068e-03
pt6d16R00_04	3.9916	3.9297	4.5000	7.2676	7.3276	5.2705	2.252632e-03	4.897438e+02	1.013224e-09	27	2.252632e-03
pt6d16R00_07	3.7103	2.2205	3.7519	6.2922	7.5986	3.0000	2.260631e-03	3.967100e+02	2.469725e-09	21	2.260631e-03
pt6d16R00_08	2.0000	3.6986	2.9168	8.0000	7.7693	6.0961	2.281831e-03	4.689341e+02	1.735768e-09	33	2.281831e-03
pt6d16R01_01	4.1507	2.9451	2.2874	7.9712	6.0496	4.4074	2.225798e-03	4.114438e+02	2.720768e-09	32	2.225798e-03
pt6d16R01_00	2.5913	4.5000	3.2319	8.0000	8.0000	5.1803	2.228177e-03	5.089929e+02	1.399252e-09	33	2.228177e-03
