config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	calo	alpha	obj
foilsf04R00_04	149.5907	124.2210	0.126384	0.205026	0.1437	0.1731	3.57000	1.62372e-05	100000.000	1.94628
foilsf04R00_05	250.0000	250.0000	0.382977	0.574849	0.0860	0.0860	1.54000	2.41432e-06	100000.000	1.29857
foilsf04R00_06	250.0000	67.2501	1.000000	0.704737	0.0860	0.3197	0.85400	1.63143e-06	100000.000	0.69086
foilsf04R00_07	250.0000	250.0000	0.814183	1.000000	0.0860	0.0860	0.72600	8.77934e-07	100000.000	0.63821
foilsf04R00_09	250.0000	250.0000	0.828449	0.468789	0.0860	0.0860	0.91500	1.10687e-06	100000.000	0.80431
foilsf04R00_08	141.5880	137.9538	0.062057	0.170879	0.1518	0.1558	3.76000	1.87507e-05	100000.000	1.88493
foilsf05R00_01	249.3241	237.2961	0.837182	0.464028	0.0862	0.0906	0.91700	1.27148e-06	100000.000	0.78985
foilsf05R00_02	136.9594	124.3820	0.083791	0.177059	0.1570	0.1729	3.77000	1.81711e-05	100000.000	1.95289
foilsf05R00_00	142.4287	128.5922	0.108856	0.192925	0.1510	0.1672	3.67000	1.65523e-05	100000.000	2.01477
foilsf05R00_03	243.6513	201.5317	0.241684	0.394419	0.0882	0.1067	2.25000	5.87957e-06	100000.000	1.66204
foilsf05R00_05	250.0000	223.2367	0.328855	0.494219	0.0860	0.0963	1.82000	3.18264e-06	100000.000	1.50174
foilsf05R00_06	250.0000	250.0000	1.000000	1.000000	0.0860	0.0860	0.58700	8.18028e-07	100000.000	0.50520
foilsf05R00_07	220.6535	250.0000	1.000000	1.000000	0.0974	0.0860	0.64300	1.79843e-06	100000.000	0.46316
foilsf05R00_08	250.0000	250.0000	0.915838	0.493940	0.0860	0.0860	0.80500	1.14906e-06	100000.000	0.69009
foilsf05R00_04	180.9892	144.3863	0.137455	0.235223	0.1188	0.1489	3.29000	1.28202e-05	100000.000	2.00798
foilsf05R00_09	219.2252	194.7324	0.147545	0.251124	0.0981	0.1104	2.87000	9.18483e-06	100000.000	1.95152
foilsf04R01_00	250.0000	82.7997	0.126424	0.242064	0.0860	0.2597	3.18000	1.53380e-05	100000.000	1.64620
foilsf04R01_03	140.4874	99.5231	0.192206	0.185742	0.1530	0.2160	3.41000	1.52864e-05	100000.000	1.88136
foilsf04R01_02	250.0000	250.0000	1.000000	1.000000	0.0860	0.0860	0.58700	8.26290e-07	100000.000	0.50437
foilsf04R01_01	240.5137	220.3121	0.228966	0.366506	0.0894	0.0976	2.26000	5.44727e-06	100000.000	1.71527
foilsf04R01_05	234.3997	206.5044	0.207659	0.345404	0.0917	0.1041	2.42000	6.41640e-06	100000.000	1.77836
foilsf04R01_04	250.0000	50.0000	0.196272	0.130715	0.0860	0.4300	2.63000	1.27175e-05	100000.000	1.35825
foilsf04R01_07	250.0000	250.0000	0.050000	1.000000	0.0860	0.0860	1.63000	4.61168e-06	100000.000	1.16883
foilsf04R01_06	250.0000	225.8005	0.309741	0.471293	0.0860	0.0952	1.87000	3.79616e-06	100000.000	1.49038
foilsf04R01_08	250.0000	222.3120	0.299000	0.458145	0.0860	0.0967	1.93000	3.89906e-06	100000.000	1.54009
foilsf04R01_09	50.0000	250.0000	1.000000	1.000000	0.4300	0.0860	1.45000	5.59838e-06	100000.000	0.89016
foilsf05R01_00	250.0000	50.0000	0.050000	0.178895	0.0860	0.4300	3.34000	1.99369e-05	100000.000	1.34631
foilsf05R01_03	160.5946	250.0000	0.062190	0.075100	0.1339	0.0860	3.44000	1.59004e-05	100000.000	1.84996
foilsf05R01_01	250.0000	236.0583	0.342571	0.525721	0.0860	0.0911	1.72000	2.85031e-06	100000.000	1.43497
foilsf05R01_07	159.3479	225.7925	0.050000	0.050000	0.1349	0.0952	3.55000	1.76059e-05	100000.000	1.78941
foilsf05R01_04	226.9769	214.7104	0.200618	0.343825	0.0947	0.1001	2.44000	6.37806e-06	100000.000	1.80219
foilsf05R01_05	250.0000	250.0000	0.605249	0.694997	0.0860	0.0860	1.09000	1.21426e-06	100000.000	0.96857
foilsf05R01_02	250.0000	250.0000	0.661704	0.762445	0.0860	0.0860	0.98300	1.14329e-06	100000.000	0.86867
foilsf05R01_06	250.0000	250.0000	0.885478	1.000000	0.0860	0.0860	0.67500	1.04577e-06	100000.000	0.57042
foilsf05R01_08	246.0885	230.1750	0.301570	0.484847	0.0874	0.0934	1.88000	3.75781e-06	100000.000	1.50422
foilsf05R01_09	238.8487	224.4875	0.270207	0.457661	0.0900	0.0958	2.02000	4.01345e-06	100000.000	1.61866
foilsf06R00_01	142.1414	113.7272	0.010000	0.141897	0.1513	0.1890	3.78000	2.17088e-05	100000.000	1.60912
foilsf06R00_00	250.0000	250.0000	0.743607	0.760892	0.0860	0.0860	0.88300	1.27817e-06	100000.000	0.75518
foilsf06R00_03	191.6318	250.0000	0.196755	0.153928	0.1122	0.0860	2.74000	1.02253e-05	100000.000	1.71747
foilsf06R00_06	200.5097	172.2529	0.111477	0.226744	0.1072	0.1248	3.20000	1.17336e-05	100000.000	2.02664
foilsf06R00_07	137.0229	110.1094	0.010000	0.133070	0.1569	0.1953	3.79000	2.28383e-05	100000.000	1.50617
foilsf06R00_02	181.4384	250.0000	0.141607	0.105497	0.1185	0.0860	3.08000	1.23854e-05	100000.000	1.84146
foilsf06R00_05	250.0000	250.0000	0.810272	0.858545	0.0860	0.0860	0.78100	9.21319e-07	100000.000	0.68887
foilsf06R00_04	220.8116	213.5962	0.183267	0.335743	0.0974	0.1007	2.51000	6.78264e-06	100000.000	1.83174
foilsf06R00_08	250.0000	250.0000	1.000000	1.000000	0.0860	0.0860	0.58900	8.30485e-07	100000.000	0.50595
foilsf06R00_09	250.0000	242.7487	0.362519	0.536287	0.0860	0.0886	1.63000	2.39017e-06	100000.000	1.39098
foilsf06R01_01	164.5586	149.9095	0.098798	0.191902	0.1307	0.1434	3.52000	1.45577e-05	100000.000	2.06423
foilsf06R01_02	192.5305	182.3730	0.126505	0.234683	0.1117	0.1179	3.09000	1.05094e-05	100000.000	2.03906
foilsf06R01_04	119.4006	120.8170	0.085737	0.144479	0.1801	0.1780	3.85000	1.93996e-05	100000.000	1.91004
foilsf06R01_03	244.3496	233.0499	0.325271	0.521925	0.0880	0.0923	1.78000	3.39554e-06	100000.000	1.44045
foilsf06R01_00	97.5838	122.9101	0.078083	0.097707	0.2203	0.1749	3.86000	2.12422e-05	100000.000	1.73578
foilsf06R01_05	72.7857	146.4340	0.109062	0.010000	0.2954	0.1468	3.46000	2.22657e-05	100000.000	1.23343
foilsf06R01_06	228.2492	210.4120	0.250023	0.441537	0.0942	0.1022	2.17000	5.21493e-06	100000.000	1.64851
foilsf06R01_07	205.1951	188.1859	0.136157	0.257336	0.1048	0.1142	2.96000	9.84903e-06	100000.000	1.97510
foilsf06R01_09	250.0000	162.4245	0.728760	0.010000	0.0860	0.1324	1.19000	2.77582e-06	100000.000	0.91242
foilsf06R01_08	250.0000	250.0000	0.423984	0.613821	0.0860	0.0860	1.43000	2.05785e-06	100000.000	1.22421
foilsf06R02_00	169.6476	145.7594	0.010000	1.000000	0.1267	0.1475	2.44000	1.48907e-05	100000.000	0.95093
foilsf06R02_01	174.7364	185.2643	0.091100	0.149983	0.1230	0.1161	3.41000	1.41110e-05	100000.000	1.99890
foilsf06R02_02	146.9358	136.3413	0.104732	0.173535	0.1463	0.1577	3.65000	1.62249e-05	100000.000	2.02751
